link,date,title
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-17-de-septiembre-de-2025?idiom=es,2025-09-17,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 17 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-desfile-civico-militar-215-aniversario-de-la-independencia?idiom=es,2025-09-16,"Versión estenográfica. Desfile Cívico Militar, 215 Aniversario de la Independencia"
https://www.gob.mx//presidencia/es/articulos/version-estenografica-215-aniversario-del-grito-de-independencia?idiom=es,2025-09-15,Versión estenográfica. 215 Aniversario del Grito de Independencia
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-el-estado-de-mexico?idiom=es,2025-09-14,Versión estenográfica. La transformación avanza en el Estado de México
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-michoacan?idiom=es,2025-09-14,Versión estenográfica. La transformación avanza en Michoacán
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-queretaro?idiom=es,2025-09-13,Versión estenográfica. La transformación avanza en Querétaro
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-san-luis-potosi?idiom=es,2025-09-13,Versión estenográfica. La transformación avanza en San Luis Potosí
https://www.gob.mx//presidencia/es/articulos/version-estenografica-178-aniversario-de-la-gesta-heroica-de-los-ninos-heroes-de-chapultepec?idiom=es,2025-09-13,Versión estenográfica. 178 Aniversario de la Gesta Heroica de los Niños Héroes de Chapultepec
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-hidalgo?idiom=es,2025-09-12,Versión estenográfica. La transformación avanza en Hidalgo
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-tlaxcala?idiom=es,2025-09-12,Versión estenográfica. La transformación avanza en Tlaxcala
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-puebla?idiom=es,2025-09-12,Versión estenográfica. La transformación avanza en Puebla
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-12-de-septiembre-de-2025?idiom=es,2025-09-12,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 12 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-11-de-septiembre-de-2025?idiom=es,2025-09-11,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 11 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-10-de-septiembre-de-2025?idiom=es,2025-09-10,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 10 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-9-de-septiembre-de-2025?idiom=es,2025-09-09,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 9 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-8-de-septiembre-de-2025?idiom=es,2025-09-08,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 8 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-veracruz?idiom=es,2025-09-07,Versión estenográfica. La transformación avanza en Veracruz
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-tamaulipas?idiom=es,2025-09-07,Versión estenográfica. La transformación avanza en Tamaulipas
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-coahuila?idiom=es,2025-09-07,Versión estenográfica. La transformación avanza en Coahuila
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-nuevo-leon?idiom=es,2025-09-06,Versión estenográfica. La transformación avanza en Nuevo León
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-sonora?idiom=es,2025-09-06,Versión estenográfica. La transformación avanza en Sonora
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-durango?idiom=es,2025-09-06,Versión estenográfica. La transformación avanza en Durango
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-zacatecas-407472?idiom=es,2025-09-05,Versión estenográfica. La transformación avanza en Zacatecas
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-aguascalientes?idiom=es,2025-09-05,Versión estenográfica. La transformación avanza en Aguascalientes
https://www.gob.mx//presidencia/es/articulos/version-estenografica-la-transformacion-avanza-en-guanajuato?idiom=es,2025-09-05,Versión estenográfica. La transformación avanza en Guanajuato
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-5-de-septiembre-de-2025?idiom=es,2025-09-05,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 5 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-conferencia-de-prensa-de-la-presidenta-claudia-sheinbaum-pardo-del-4-de-septiembre-de-2025?idiom=es,2025-09-04,Versión estenográfica. Conferencia de prensa de la presidenta Claudia Sheinbaum Pardo del 4 de septiembre de 2025
https://www.gob.mx//presidencia/es/articulos/version-estenografica-cursos-del-sistema-educativo-militar-2025-ciudad-de-mexico?idiom=es,2025-09-03,Versión estenográfica. Cursos del Sistema Educativo Militar 2025. Ciudad de México
